date,BID,CTG,FPT,GAS,HDB,HPG,MBB,MWG,NVL,POW,SHB,SSI,STB,TCB,TPB,VCB,VCI,VIB,sum_weight
2023-05-05,0.0,0.0,0.0,0.041510356738857696,0.0,0.870337882990481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012636127660096332,0.0,0.0755156326105649,1.0
2023-06-02,0.0,0.0,0.0,0.0,0.1569212988409737,0.0,0.0,0.0,0.3688959565260088,0.0,0.0,0.0,0.46997144869245716,0.0,0.0,0.0,0.0,0.004211295940560446,1.0
2023-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40171769578651423,0.0,0.0,0.0,0.1392390598368428,0.0,0.0,0.0,0.40171769578651423,0.057325548590128776,1.0
2023-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26450077839054575,0.022925839843218988,0.0,0.0,0.0,0.0,0.0,0.0,0.3562866908831177,0.3562866908831177,1.0000000000000002
2023-08-25,0.0,0.0,0.0,0.3205675240688622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20199000353890412,0.0,0.0,0.3071387523871906,0.17030372000504307,0.0,0.9999999999999999
2023-09-26,0.0,0.0,0.0,0.6664734076754714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17699867096049124,0.14522060600020748,0.01130731536382989,1.0
2023-10-24,0.0,0.0,0.0,0.7110960717613679,0.0,0.1436807064511203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12748462565502516,0.017738596132486757,0.0,1.0
2023-11-21,0.0,0.0,0.0,0.05538098405052228,0.0,0.8139982352469183,0.05393096475046869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07668981595209079,0.0,0.0,1.0
2023-12-19,0.0,0.0,0.08087561018210361,0.08428370985069306,0.7683215245032425,0.0,0.06651915546396087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-01-17,0.0,0.0,0.0,0.0,0.874138610049649,0.0,0.0,0.0,0.0,0.01819438331056148,0.04227701432366617,0.0,0.0,0.06538999231612333,0.0,0.0,0.0,0.0,1.0
2024-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04173335624388551,0.09214164752904938,0.0,0.0,0.7293045817626815,0.13682041446438348,0.0,0.0,0.0,0.9999999999999999
2024-03-20,0.48396598965859156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004066906929020074,0.0,0.0,0.0,0.48396598965859156,0.02800111375379689,0.0,0.0,0.0,1.0000000000000002
2024-04-17,0.46114671468370566,0.0,0.0,0.0,0.4842321991001843,0.05075276174057318,0.0038683244755368562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-05-21,0.08060096483781089,0.0,0.0,0.0,0.0,0.0,0.17959999320249423,0.0,0.0,0.002142338640912036,0.0,0.0,0.0,0.0,0.0,0.0,0.7376567033187829,0.0,1.0
2024-06-18,0.07919644895690955,0.09302021980002183,0.0,0.0,0.0,0.0,0.0,0.752956631315721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07482669992734776,0.0,1.0000000000000002
2024-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4054414327449377,0.2935954945740341,0.0,0.002645454506116035,0.0,0.0,0.0,0.298317618174912,0.0,0.9999999999999999
2024-08-13,0.0,0.0,0.0,0.41499550273042596,0.0,0.0,0.0,0.0,0.0,0.41499550273042596,0.0,0.0,0.0,0.0,0.16612031698559532,0.0,0.003888677553552822,0.0,1.0
2024-09-12,0.0,0.0,0.0,0.8036539546749595,0.0,0.0,0.0,0.0,0.0,0.0,0.023848803203319065,0.027574601732939182,0.0,0.0,0.14492264038878225,0.0,0.0,0.0,0.9999999999999999
2024-10-10,0.0,0.0,0.0,0.0,0.6008694689120835,0.0,0.0,0.03125341593156586,0.0,0.0,0.0,0.06270934709237627,0.0,0.0,0.0,0.30516776806397444,0.0,0.0,1.0
